net,length_um
net2,126.59µm
_09_,66.88µm
net6,64.42µm
clk,56.09µm
net7,51.1µm
net5,48.08µm
net8,47.84µm
net3,44.98µm
net4,43.36µm
clknet_1_1__leaf_clk,40.24µm
net9,38.9µm
clknet_1_0__leaf_clk,37.76µm
net1,36.24µm
net10,31.44µm
net11,27.68µm
_13_,21.62µm
clknet_0_clk,18.6µm
count[4],11µm
net13,10.58µm
_00_,10.32µm
_11_,9.44µm
_12_,9.36µm
net12,9.06µm
rst_n,8.84µm
enable,8.72µm
count[0],8.5µm
net16,8.28µm
_08_,7.44µm
_06_,6.98µm
count[6],6.21µm
count[7],6.21µm
count[2],5.75µm
count[3],5.75µm
net18,5.62µm
count[5],5.53µm
overflow,5.53µm
_03_,4.94µm
count[1],4.73µm
_01_,4.54µm
net14,4.46µm
_05_,3.54µm
_07_,3.3µm
_15_,3.1µm
_10_,2.96µm
net17,2.96µm
_02_,2.76µm
_14_,2.5µm
_04_,2.28µm
_17_,1.84µm
_16_,1.38µm
net15,0.46µm
